City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-05-24 23:05:01,-33.9258,18.4232,64.38,90,99,3.0
1,Port Alfred,ZA,2022-05-24 23:07:52,-33.5906,26.891,60.19,92,85,1.01
2,Lebu,CL,2022-05-24 23:07:52,-37.6167,-73.65,49.51,86,51,2.53
3,Matara,LK,2022-05-24 23:07:52,5.9485,80.5353,76.17,91,100,6.96
4,Quatre Cocos,MU,2022-05-24 23:07:53,-20.2078,57.7625,71.1,81,27,9.1
5,Hithadhoo,MV,2022-05-24 23:07:53,-0.6,73.0833,82.85,69,92,2.35
6,San Cristobal,VE,2022-05-24 23:07:54,7.7669,-72.225,71.46,83,99,3.65
7,Maku,IR,2022-05-24 23:07:54,39.2911,44.4521,47.12,79,38,3.74
8,Port Elizabeth,ZA,2022-05-24 23:07:54,-33.918,25.5701,64.09,84,87,11.7
9,Ushuaia,AR,2022-05-24 23:05:31,-54.8,-68.3,30.56,91,93,4.54
10,Jamestown,US,2022-05-24 23:03:45,42.097,-79.2353,61.52,81,100,4.27
11,Codrington,AU,2022-05-24 23:07:55,-38.2667,141.9667,55.6,69,100,12.03
12,Tambacounda,SN,2022-05-24 23:07:55,13.7539,-13.7586,93.22,22,10,4.41
13,Bredasdorp,ZA,2022-05-24 23:07:55,-34.5322,20.0403,60.3,77,100,4.65
14,Kuytun,RU,2022-05-24 23:07:56,54.3419,101.5036,55.18,56,0,3.85
15,Mandawar,IN,2022-05-24 23:07:56,29.5,78.1333,75.47,53,7,4.68
16,Mahuva,IN,2022-05-24 23:07:56,21.0914,71.7622,82.69,71,0,12.46
17,Kaspiysk,RU,2022-05-24 23:07:56,42.8816,47.6392,55.58,87,100,4.47
18,Hermanus,ZA,2022-05-24 23:07:57,-34.4187,19.2345,61.92,83,99,8.66
19,Ponta Do Sol,PT,2022-05-24 23:07:57,32.6667,-17.1,66.83,65,70,7.9
20,Chuy,UY,2022-05-24 23:07:57,-33.6971,-53.4616,60.15,84,100,4.43
21,Bengkulu,ID,2022-05-24 23:07:58,-3.8004,102.2655,75.22,92,100,5.97
22,Bria,CF,2022-05-24 23:07:58,6.5423,21.9863,67.71,98,100,4.21
23,Rincon,US,2022-05-24 23:07:58,32.296,-81.2354,81.91,74,100,1.01
24,Georgetown,MY,2022-05-24 23:06:15,5.4112,100.3354,82.33,83,20,0.0
25,Tabatinga,BR,2022-05-24 23:07:59,-4.2525,-69.9381,74.03,96,60,2.62
26,Soyo,AO,2022-05-24 23:04:18,-6.1349,12.3689,73.62,85,30,7.02
27,Lakewood,US,2022-05-24 23:07:59,39.7047,-105.0814,57.94,53,100,8.01
28,Plettenberg Bay,ZA,2022-05-24 23:07:59,-34.0527,23.3716,61.3,86,99,7.58
29,Porto Belo,BR,2022-05-24 23:05:13,-27.1578,-48.5531,65.16,91,0,3.89
30,Geraldton,AU,2022-05-24 23:08:00,-28.7667,114.6,55.81,100,100,3.44
31,Holme,DK,2022-05-24 23:08:00,56.1138,10.1725,53.17,88,43,16.53
32,Calama,CL,2022-05-24 23:03:14,-22.4667,-68.9333,50.77,20,0,3.94
33,Thunder Bay,CA,2022-05-24 23:05:09,48.4001,-89.3168,59.54,59,93,5.17
34,Ornskoldsvik,SE,2022-05-24 23:08:01,63.2909,18.7153,41.95,93,98,3.44
35,Coquimbo,CL,2022-05-24 23:04:14,-29.9533,-71.3436,61.12,71,100,6.15
36,Sinnamary,GF,2022-05-24 23:08:01,5.3833,-52.95,78.46,87,48,9.26
37,Punta Arenas,CL,2022-05-24 23:04:14,-53.15,-70.9167,35.11,74,50,17.34
38,Saldanha,ZA,2022-05-24 23:08:02,-33.0117,17.9442,61.92,92,92,2.28
39,Kortkeros,RU,2022-05-24 23:08:02,61.8106,51.5806,37.4,95,94,6.26
40,Mar Del Plata,AR,2022-05-24 23:08:03,-38.0023,-57.5575,47.95,91,29,1.99
41,Torbay,CA,2022-05-24 23:03:18,47.6666,-52.7314,38.28,83,22,18.01
42,Lapa,BR,2022-05-24 23:08:03,-25.7697,-49.7158,56.37,72,38,4.05
43,Peniche,PT,2022-05-24 23:08:03,39.3558,-9.3811,60.12,81,100,22.79
44,Saint-Philippe,RE,2022-05-24 23:08:04,-21.3585,55.7679,71.19,81,40,11.23
45,Biloxi,US,2022-05-24 23:08:04,30.396,-88.8853,84.2,78,75,12.66
46,Hualmay,PE,2022-05-24 23:08:04,-11.0964,-77.6139,65.41,78,17,10.18
47,Novodolinskiy,KZ,2022-05-24 23:08:05,49.705,72.7047,39.78,41,23,10.09
48,Kaka,TM,2022-05-24 23:09:06,37.3482,59.6143,73.74,39,3,7.58
49,Pemba,MZ,2022-05-24 23:09:06,-12.974,40.5178,76.57,80,1,10.49
50,Carnarvon,AU,2022-05-24 23:09:06,-24.8667,113.6333,66.47,68,33,9.01
51,Tamandare,BR,2022-05-24 23:09:07,-8.7597,-35.1047,76.03,90,100,8.81
52,Iqaluit,CA,2022-05-24 23:09:07,63.7506,-68.5145,24.53,92,100,23.02
53,Kasama,ZM,2022-05-24 23:09:08,-10.2129,31.1808,63.45,69,95,2.28
54,Seabra,BR,2022-05-24 23:09:08,-12.4186,-41.7703,67.57,63,59,6.4
55,Kangaatsiaq,GL,2022-05-24 23:09:08,68.3065,-53.4641,23.43,57,38,6.89
56,The Valley,AI,2022-05-24 23:09:09,18.217,-63.0578,80.82,70,5,13.0
57,Kondinskoye,RU,2022-05-24 23:09:09,59.6481,67.41,52.45,97,98,6.64
58,San Esteban,HN,2022-05-24 23:09:09,15.2,-85.75,79.36,71,74,5.14
59,Vigia,BR,2022-05-24 23:04:25,-0.8583,-48.1417,75.85,93,71,8.39
60,Sorland,NO,2022-05-24 23:09:10,67.667,12.6934,55.26,84,100,9.62
61,Knysna,ZA,2022-05-24 23:09:10,-34.0363,23.0471,61.72,88,100,5.66
62,Riachao Das Neves,BR,2022-05-24 23:09:10,-11.7461,-44.91,77.61,38,58,2.44
63,Husavik,IS,2022-05-24 23:09:11,66.0449,-17.3389,42.6,89,99,7.72
64,Victoria,HK,2022-05-24 23:08:56,22.2855,114.1577,77.97,94,100,11.01
65,Odesskoye,RU,2022-05-24 23:09:11,54.2111,72.9651,62.58,40,1,5.59
66,Busselton,AU,2022-05-24 23:09:11,-33.65,115.3333,59.54,77,84,5.23
67,Shelburne,CA,2022-05-24 23:09:12,44.0787,-80.2041,61.3,71,91,6.13
68,Washington,US,2022-05-24 23:09:12,47.5001,-120.5015,67.89,33,99,2.59
69,Shahrud,IR,2022-05-24 23:09:13,36.4182,54.9763,60.78,44,0,7.58
70,Marienburg,PL,2022-05-24 23:09:13,54.0359,19.0266,57.88,98,100,7.25
71,Kisangani,CD,2022-05-24 23:09:13,0.5167,25.2,68.05,100,100,0.63
72,Foumban,CM,2022-05-24 23:09:14,5.7291,10.9001,63.28,97,99,3.58
73,Hofn,IS,2022-05-24 23:09:14,64.2539,-15.2082,45.61,84,100,4.38
74,Weligama,LK,2022-05-24 23:09:15,5.9667,80.4167,76.3,90,100,6.38
75,Bocaiuva,BR,2022-05-24 23:09:15,-17.1078,-43.815,63.55,57,11,7.2
76,Veshenskaya,RU,2022-05-24 23:09:16,49.6303,41.7334,51.1,64,85,8.52
77,Mahebourg,MU,2022-05-24 23:09:16,-20.4081,57.7,71.26,81,18,10.27
78,Bandarbeyla,SO,2022-05-24 23:09:16,9.4942,50.8122,81.09,78,24,22.79
79,Qaanaaq,GL,2022-05-24 23:09:17,77.484,-69.3632,26.76,84,60,0.56
80,Beyneu,KZ,2022-05-24 23:09:17,45.3167,55.2,59.11,72,64,16.8
81,Ambilobe,MG,2022-05-24 23:09:17,-13.2,49.05,67.39,92,10,3.67
82,Kurchum,KZ,2022-05-24 23:09:17,48.5722,83.6542,64.83,63,66,2.17
83,Sistranda,NO,2022-05-24 23:09:18,63.7256,8.834,57.16,78,100,6.17
84,Cidreira,BR,2022-05-24 23:09:18,-30.1811,-50.2056,63.95,84,9,6.69
85,Tasiilaq,GL,2022-05-24 23:09:18,65.6145,-37.6368,32.43,95,100,2.33
86,Sanghar,PK,2022-05-24 23:06:14,26.0466,68.9481,83.93,69,0,16.73
87,Stutterheim,ZA,2022-05-24 23:09:19,-32.5708,27.424,51.03,87,80,2.28
88,Uniontown,US,2022-05-24 23:05:38,39.9001,-79.7164,68.72,49,75,1.99
89,Mushie,CD,2022-05-24 23:09:19,-3.0167,16.9,72.25,96,93,0.56
90,Marrakesh,MA,2022-05-24 23:05:22,31.6315,-8.0083,66.27,63,0,8.05
91,Slavsk,RU,2022-05-24 23:10:20,55.0425,21.677,55.2,85,100,6.2
92,Dwarka,IN,2022-05-24 23:10:20,22.2394,68.9678,82.74,76,24,16.69
93,Lagoa,PT,2022-05-24 23:10:20,39.05,-27.9833,61.14,83,2,13.11
94,Korla,CN,2022-05-24 23:10:21,41.7597,86.1469,80.26,17,100,12.12
95,Margate,GB,2022-05-24 23:10:21,51.3813,1.3862,51.31,84,7,1.99
96,Sfantu Gheorghe,RO,2022-05-24 23:09:53,45.8667,25.7833,53.65,91,27,3.2
97,Asfi,MA,2022-05-24 23:10:22,32.2994,-9.2372,63.52,73,5,17.36
98,Riyadh,SA,2022-05-24 23:10:22,24.6877,46.7219,79.97,18,0,8.03
99,Caravelas,BR,2022-05-24 23:10:22,-17.7125,-39.2481,70.83,84,41,5.95
100,Presidencia Roque Saenz Pena,AR,2022-05-24 23:10:23,-26.7852,-60.4388,76.33,56,59,12.12
101,Ilulissat,GL,2022-05-24 23:10:23,69.2167,-51.1,17.96,75,92,9.15
102,Dulce Nombre De Culmi,HN,2022-05-24 23:10:24,15.1,-85.5333,75.69,86,67,2.77
103,Goderich,CA,2022-05-24 23:10:24,43.7501,-81.7165,53.91,76,80,14.41
104,Harper,LR,2022-05-24 23:10:24,4.375,-7.7169,73.13,95,100,12.15
105,Botwood,CA,2022-05-24 23:05:30,49.1499,-55.3482,47.89,63,2,4.07
106,Pandamatenga,BW,2022-05-24 23:10:25,-18.5278,25.627,55.11,47,0,4.94
107,Yar-Sale,RU,2022-05-24 23:10:22,66.8333,70.8333,34.39,88,13,7.07
108,Francavilla Al Mare,IT,2022-05-24 23:10:25,42.4206,14.287,73.89,92,37,1.14
109,Honningsvag,NO,2022-05-24 23:10:26,70.9821,25.9704,51.55,54,100,11.5
110,Rzhaksa,RU,2022-05-24 23:10:26,52.1338,42.0264,40.17,93,89,5.82
111,Larsnes,NO,2022-05-24 23:10:26,62.2028,5.5773,53.01,90,100,3.18
112,Constantine,DZ,2022-05-24 23:10:27,36.365,6.6147,74.61,46,40,3.44
113,Dikson,RU,2022-05-24 23:10:27,73.5069,80.5464,28.08,77,100,5.86
114,Brae,GB,2022-05-24 23:10:27,60.3964,-1.353,46.51,84,63,7.38
115,Concordia,AR,2022-05-24 23:10:27,-31.393,-58.0209,68.79,80,89,1.99
116,Antofagasta,CL,2022-05-24 23:09:08,-23.65,-70.4,59.2,88,20,4.83
117,Yenagoa,NG,2022-05-24 23:10:28,4.9247,6.2642,74.41,96,100,5.41
118,Chateauroux,FR,2022-05-24 23:10:28,46.8167,1.7,50.0,93,32,9.22
119,Boblingen,DE,2022-05-24 23:10:28,48.6833,9.0167,56.3,67,20,2.3
120,Great Yarmouth,GB,2022-05-24 23:10:29,52.6083,1.7305,51.03,88,16,10.27
121,Oriximina,BR,2022-05-24 23:10:29,-1.7656,-55.8661,76.53,86,27,3.29
122,Puchov,SK,2022-05-24 23:10:29,49.1249,18.326,60.35,92,99,1.99
123,Humaita,BR,2022-05-24 23:10:30,-7.5061,-63.0208,78.44,68,71,0.74
124,Scarborough,GB,2022-05-24 23:08:41,54.2797,-0.4044,49.15,84,21,3.0
125,Matagami,CA,2022-05-24 23:10:30,49.7502,-77.6328,63.23,33,99,10.22
126,Krasnyy Yar,RU,2022-05-24 23:10:30,46.5331,48.3456,49.93,52,8,4.9
127,Naliya,IN,2022-05-24 23:10:31,23.2667,68.8333,81.99,78,6,14.52
128,Xapuri,BR,2022-05-24 23:10:31,-10.6517,-68.5044,74.91,88,92,1.66
129,Vossevangen,NO,2022-05-24 23:10:31,60.623,6.4229,53.55,97,100,5.73
130,Upernavik,GL,2022-05-24 23:08:20,72.7868,-56.1549,21.65,72,100,13.27
131,Bilma,NE,2022-05-24 23:10:32,18.6853,12.9164,87.03,10,2,4.5
132,Praia Da Vitoria,PT,2022-05-24 23:10:36,38.7333,-27.0667,62.76,84,20,7.74
133,Konevo,RU,2022-05-24 23:10:36,62.1215,39.3192,32.04,95,57,4.9
134,Bathsheba,BB,2022-05-24 23:10:37,13.2167,-59.5167,79.16,77,100,13.04
135,Arraial Do Cabo,BR,2022-05-24 23:11:37,-22.9661,-42.0278,73.04,74,0,20.67
136,Salinopolis,BR,2022-05-24 23:11:37,-0.6136,-47.3561,78.04,85,71,11.77
137,Mwinilunga,ZM,2022-05-24 23:11:38,-11.7358,24.4293,52.81,60,21,3.87
138,Miechow,PL,2022-05-24 23:11:38,50.3565,20.0279,61.05,93,100,3.6
139,Tema,GH,2022-05-24 23:11:39,5.667,-0.0166,78.19,83,100,5.97
140,Maniwaki,CA,2022-05-24 23:09:19,46.3834,-75.966,56.98,67,99,2.59
141,Derzhavinsk,KZ,2022-05-24 23:11:39,51.1,66.3167,64.06,35,100,10.31
142,East London,ZA,2022-05-24 23:08:13,-33.0153,27.9116,63.12,77,94,7.05
143,At-Bashi,KG,2022-05-24 23:11:39,41.1702,75.8106,49.46,66,13,4.68
144,Bardiyah,LY,2022-05-24 23:11:40,31.7561,25.0865,68.23,60,0,4.25
145,Henties Bay,NA,2022-05-24 23:11:40,-22.116,14.2845,60.01,67,0,2.08
146,Svetlyy,RU,2022-05-24 23:11:40,54.675,20.1347,57.96,95,100,9.28
147,Axim,GH,2022-05-24 23:11:41,4.8699,-2.2405,77.0,87,100,6.38
148,Puerto Leguizamo,CO,2022-05-24 23:11:41,-0.1934,-74.7819,73.67,97,79,2.77
149,Staryy Nadym,RU,2022-05-24 23:11:42,65.6118,72.6842,44.44,78,8,6.82
150,Cockburn Town,TC,2022-05-24 23:10:10,21.4612,-71.1419,79.43,72,52,20.07
151,Cayenne,GF,2022-05-24 23:10:44,4.9333,-52.3333,83.08,7,89,5.99
152,Sisimiut,GL,2022-05-24 23:11:42,66.9395,-53.6735,25.11,73,84,6.82
153,Lodja,CD,2022-05-24 23:11:42,-3.4833,23.4333,68.59,99,97,2.33
154,Nosy Varika,MG,2022-05-24 23:11:42,-20.5833,48.5333,69.28,90,13,4.99
155,Ouango,CF,2022-05-24 23:11:43,4.3133,22.5552,67.87,98,100,0.4
156,Oktyabrskiy,RU,2022-05-24 23:11:43,54.4815,53.471,42.55,86,100,4.16
157,Chapleau,CA,2022-05-24 23:11:43,47.8405,-83.4034,59.59,41,8,8.01
158,Digoin,FR,2022-05-24 23:11:44,46.4812,3.9795,56.12,87,0,2.3
159,Honiton,GB,2022-05-24 23:11:44,50.7996,-3.189,51.19,86,20,4.61
160,Talalayivka,UA,2022-05-24 23:11:44,50.9578,31.9209,47.75,82,50,6.38
161,Horta,PT,2022-05-24 23:07:31,38.5333,-28.6333,64.04,82,75,8.05
162,Luderitz,NA,2022-05-24 23:11:45,-26.6481,15.1594,60.06,65,0,3.24
163,Pauini,BR,2022-05-24 23:11:45,-7.7136,-66.9764,78.85,69,65,1.16
164,Quelimane,MZ,2022-05-24 23:11:46,-17.8786,36.8883,65.35,79,0,1.5
165,Conde,BR,2022-05-24 23:11:46,-7.2597,-34.9075,73.67,92,52,9.06
166,Gat,IL,2022-05-24 23:10:49,31.61,34.7642,71.4,73,0,1.45
167,Contamana,PE,2022-05-24 23:11:46,-7.3333,-75.0167,77.4,81,56,1.41
168,Parkersburg,US,2022-05-24 23:11:32,39.2667,-81.5615,73.17,70,98,2.15
169,Ancud,CL,2022-05-24 23:11:47,-41.8697,-73.8203,45.1,83,73,6.11
170,Vila Velha,BR,2022-05-24 23:11:47,-20.3297,-40.2925,70.61,81,55,4.68
171,Sao Filipe,CV,2022-05-24 23:11:47,14.8961,-24.4956,72.52,78,4,10.96
172,Saquena,PE,2022-05-24 23:11:48,-4.6667,-73.5167,74.03,97,26,1.83
173,Tambovka,RU,2022-05-24 23:11:48,50.0969,128.0489,51.28,51,10,11.43
174,Klaksvik,FO,2022-05-24 23:11:49,62.2266,-6.589,45.52,89,79,16.02
175,Pavilosta,LV,2022-05-24 23:11:49,56.8879,21.1859,55.31,81,85,8.81
176,Tiznit,MA,2022-05-24 23:11:49,29.5833,-9.5,64.42,69,62,2.42
177,Sassandra,CI,2022-05-24 23:11:49,4.95,-6.0833,74.77,92,100,4.76
178,Porto Novo,BJ,2022-05-24 23:11:50,6.4965,2.6036,76.91,85,93,4.65
179,Vardo,NO,2022-05-24 23:11:50,70.3705,31.1107,39.18,81,95,16.11
180,Laguna,US,2022-05-24 23:10:12,38.421,-121.4238,101.28,11,0,12.66
181,Goianesia,BR,2022-05-24 23:11:50,-15.3175,-49.1175,71.15,44,25,3.24
182,Bambous Virieux,MU,2022-05-24 23:12:51,-20.3428,57.7575,71.22,81,22,9.84
183,Quilmana,PE,2022-05-24 23:12:51,-12.95,-76.3833,66.02,80,17,4.0
184,Kochinda,IN,2022-05-24 23:12:51,21.7333,84.35,77.47,72,44,2.26
185,Los Llanos De Aridane,ES,2022-05-24 23:08:21,28.6585,-17.9182,64.15,81,100,17.27
186,Florianopolis,BR,2022-05-24 23:12:52,-27.6146,-48.5012,66.42,92,1,6.31
187,Nuuk,GL,2022-05-24 23:12:52,64.1835,-51.7216,23.88,85,100,11.01
